🇨🇳| 央视,#genre#
CCTV1,http://112.17.52.41/PLTV/88888888/224/3221233701/index.m3u8
CCTV1,http://36.129.204.120:880/CCD303.m3u8
CCTV1,http://13457610200.8866.org:2018/live/CCTVx1高清/index.m3u8
CCTV1,http://13457610200.8866.org:2018/live/中央1HD/index.m3u8
CCTV1,http://caiyehe.7766.org:9901/tsfile/live/1083_1.m3u8
CCTV2,http://112.17.52.41/PLTV/88888888/224/3221233718/index.m3u8
CCTV2,http://36.129.204.120:880/DX2.m3u8
CCTV2,http://13457610200.8866.org:2018/live/CCTVx2高清/index.m3u8
CCTV2,http://13457610200.8866.org:2018/live/中央2HD/index.m3u8
CCTV2,http://caiyehe.7766.org:9901/tsfile/live/1047_1.m3u8
CCTV3,http://112.17.52.41/PLTV/88888888/224/3221233715/index.m3u8
CCTV3,http://36.129.204.120:880/DX101.m3u8
CCTV3,http://13457610200.8866.org:2018/live/CCTVx3高清/index.m3u8
CCTV3,http://13457610200.8866.org:2018/live/中央3HD/index.m3u8
CCTV3,http://caiyehe.7766.org:9901/tsfile/live/1072_1.m3u8
CCTV4,http://112.17.52.41/PLTV/88888888/224/3221233686/index.m3u8
CCTV4,http://36.129.204.120:880/DX4.m3u8
CCTV4,http://13457610200.8866.org:2018/live/CCTVx4高清/index.m3u8
CCTV4,http://caiyehe.7766.org:9901/tsfile/live/1048_1.m3u8
CCTV5,http://112.17.52.41/PLTV/88888888/224/3221233724/index.m3u8
CCTV5,http://36.129.204.120:880/DX99.m3u8
CCTV5,http://13457610200.8866.org:2018/live/CCTVx5高清/index.m3u8
CCTV5,http://13457610200.8866.org:2018/live/中央5HD/index.m3u8
CCTV5,http://caiyehe.7766.org:9901/tsfile/live/1017_1.m3u8
CCTV5,http://caiyehe.7766.org:9901/tsfile/live/1103_1.m3u8
CCTV6,http://112.17.52.41/PLTV/88888888/224/3221233713/index.m3u8
CCTV6,http://36.129.204.120:880/DX98.m3u8
CCTV6,http://13457610200.8866.org:2018/live/CCTVx6高清/index.m3u8
CCTV6,http://13457610200.8866.org:2018/live/中6HD6./index.m3u8
CCTV6,http://caiyehe.7766.org:9901/tsfile/live/1073_1.m3u8
CCTV7,http://112.17.52.41/PLTV/88888888/224/3221233709/index.m3u8
CCTV7,http://36.129.204.120:880/DX7.m3u8
CCTV7,http://13457610200.8866.org:2018/live/CCTVx7高清/index.m3u8
CCTV7,http://caiyehe.7766.org:9901/tsfile/live/1084_1.m3u8
CCTV8,http://112.17.52.41/PLTV/88888888/224/3221233721/index.m3u8
CCTV8,http://36.129.204.120:880/DX8.m3u8
CCTV8,http://13457610200.8866.org:2018/live/CCTVx8高清/index.m3u8
CCTV8,http://13457610200.8866.org:2018/live/中8HD./index.m3u8
CCTV8,http://caiyehe.7766.org:9901/tsfile/live/1074_1.m3u8
CCTV9,http://112.17.52.41/PLTV/88888888/224/3221233706/index.m3u8
CCTV9,http://36.129.204.120:880/DX9.m3u8
CCTV9,http://13457610200.8866.org:2018/live/CCTVx9高清/index.m3u8
CCTV9,http://caiyehe.7766.org:9901/tsfile/live/1006_1.m3u8
CCTV10,http://112.17.52.41/PLTV/88888888/224/3221233704/index.m3u8
CCTV10,http://36.129.204.120:880/DX11.m3u8
CCTV10,http://13457610200.8866.org:2018/live/CCTVx10高清/index.m3u8
CCTV10,http://caiyehe.7766.org:9901/tsfile/live/1050_1.m3u8
CCTV11,http://112.17.52.41/PLTV/88888888/224/3221233733/index.m3u8
CCTV11,http://36.129.204.120:880/DXX11.m3u8
CCTV11,http://13457610200.8866.org:2018/live/CCTVx11高清/index.m3u8
CCTV11,http://caiyehe.7766.org:9901/tsfile/live/1051_1.m3u8
CCTV12,http://112.17.52.41/PLTV/88888888/224/3221233727/index.m3u8
CCTV12,http://36.129.204.120:880/DX12.m3u8
CCTV12,http://13457610200.8866.org:2018/live/CCTVx12高清/index.m3u8
CCTV12,http://caiyehe.7766.org:9901/tsfile/live/1052_1.m3u8
CCTV13,http://112.17.52.41/PLTV/88888888/224/3221233712/index.m3u8
CCTV13,http://36.129.204.120:880/DX92.m3u8
CCTV13,http://13457610200.8866.org:2018/live/CCTVx13高清/index.m3u8
CCTV13,http://13457610200.8866.org:2018/live/中12HD./index.m3u8
CCTV13,http://caiyehe.7766.org:9901/tsfile/live/1120_1.m3u8
CCTV14,http://112.17.52.41/PLTV/88888888/224/3221233698/index.m3u8
CCTV14,http://36.129.204.120:880/DXCCTV14.m3u8
CCTV14,http://13457610200.8866.org:2018/live/CCTVx14高清/index.m3u8
CCTV14,http://caiyehe.7766.org:9901/tsfile/live/1053_1.m3u8
CCTV15,http://36.129.204.120:880/WGCCTV15.m3u8
CCTV15,http://13457610200.8866.org:2018/live/CCTVx15高清/index.m3u8
CCTV15,http://caiyehe.7766.org:9901/tsfile/live/1054_1.m3u8
CCTV16,http://112.17.52.41/PLTV/88888888/224/3221233710/index.m3u8
CCTV16,http://36.129.204.120:880/WGCCTV16.m3u8
CCTV16,http://13457610200.8866.org:2018/live/中14HD./index.m3u8
CCTV16,http://caiyehe.7766.org:9901/tsfile/live/1075_1.m3u8
CCTV17,http://36.129.204.120:880/CCN16.m3u8
CCTV17,http://13457610200.8866.org:2018/live/CCTVx17高清/index.m3u8
CCTV17,http://caiyehe.7766.org:9901/tsfile/live/1055_1.m3u8
CCTV5+,http://36.129.204.120:880/DX5.m3u8
CCTV5+,http://13457610200.8866.org:2018/live/CCTVx5p高清/index.m3u8
CCTV5+,http://13457610200.8866.org:2018/live/中央05HD/index.m3u8
CCTV4K,http://112.17.52.41/PLTV/88888888/224/3221233679/index.m3u8
CGTN,http://live.cgtn.com/1000/prog_index.m3u8
CGTN,http://36.129.204.120:880/CCN18.m3u8
CGTN,http://caiyehe.7766.org:9901/tsfile/live/1036_1.m3u8
CGTN纪录,http://livedoc.cgtn.com/1000d/prog_index.m3u8
CGTN俄语,http://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN法语,http://livefr.cgtn.com/1000f/prog_index.m3u8
